role,p,mor,ks,n,val,se
Liar,0.2,-2,0,100,7.251619925744618,0.2545040369874397
Liar,0.2,-2,1,100,7.073692163008177,0.2815267402853551
Liar,0.2,-2,2,100,7.099498666337098,0.27690374022104414
Liar,0.2,-2,3,100,7.169176572229856,0.2659012417273408
Liar,0.2,-2,4,100,7.263008677463448,0.2540763078706675
Liar,0.2,-2,5,100,7.117003955332901,0.2676354267286142
Liar,0.2,-2,6,100,7.874741886148382,0.19301448343384703
Liar,0.2,-2,7,100,8.389570601382518,0.1426620704248613
Liar,0.2,-2,8,100,8.907634815938044,0.0931191563125627
Liar,0.2,-2,9,100,9.440792408279709,0.04545616073796072
Liar,0.2,-2,10,100,9.764390530207354,0.02722594537400631
Detector2,0.2,-2,0,100,0.8694358598290838,0.011351714547234557
Detector2,0.2,-2,1,100,0.5685980548772881,0.024529430686705257
Detector2,0.2,-2,2,100,0.5397072227556917,0.024842333646102988
Detector2,0.2,-2,3,100,0.5500056248881463,0.0247499437479546
Detector2,0.2,-2,4,100,0.5647940556625981,0.024580173035079214
Detector2,0.2,-2,5,100,0.571327816074935,0.024491234265398024
Detector2,0.2,-2,6,100,0.5326791507388132,0.02489320731069899
Detector2,0.2,-2,7,100,0.52178744088998,0.024952530741946564
Detector2,0.2,-2,8,100,0.5208557357136603,0.024956503828784195
Detector2,0.2,-2,9,100,0.5200087558918536,0.02495996496876602
Detector2,0.2,-2,10,100,0.5177707123836276,0.024968420178137836
Detector,0.2,-1,0,100,0.2839103766536712,0.020330527468204174
Detector,0.2,-1,1,100,0.35172974854435857,0.022801593253328086
Detector,0.2,-1,2,100,0.43109240645397884,0.024525174355169634
Detector,0.2,-1,3,100,0.45928943777722114,0.024834265012350525
Detector,0.2,-1,4,100,0.4637414455352566,0.02486853172281272
Detector,0.2,-1,5,100,0.4698404067788268,0.024909039893673334
Detector,0.2,-1,6,100,0.49279218015524023,0.02499480473330855
