role,p,mor,ks,n,val
Liar,0.2,16,2,100,2.0113912505904286
Liar,0.2,16,3,100,3.002199143100233
Liar,0.2,16,4,100,4.000413681973718
Liar,0.2,16,5,100,5.000075096062856
Liar,0.2,16,6,100,6.000012915319577
Liar,0.2,16,7,100,7.000002024737979
Liar,0.2,16,8,100,8.000000260542587
Liar,0.2,16,9,100,9.000000015463986
Liar,0.2,16,10,100,9.999999993929311
Liar,0.2,17,0,100,0.13565495285998166
Liar,0.2,17,1,100,1.02734348285271
Liar,0.2,17,2,100,2.005385240672362
Liar,0.2,17,3,100,3.0010389909737083
Liar,0.2,17,4,100,4.000195417465224
Liar,0.2,17,5,100,5.000035473188772
Liar,0.2,17,6,100,6.000006100777177
Liar,0.2,17,7,100,7.000000956418917
Liar,0.2,17,8,100,8.000000123071615
Liar,0.2,17,9,100,9.00000000730467
Liar,0.2,17,10,100,9.99999999713241
Liar,0.2,18,0,100,0.06457249867852165
Liar,0.2,18,1,100,1.0129384661739103
Liar,0.2,18,2,100,2.002544789386473
Liar,0.2,18,3,100,3.000490826840808
Liar,0.2,18,4,100,4.000092310445565
Liar,0.2,18,5,100,5.000016756419395
Liar,0.2,18,6,100,6.000002881805805
Liar,0.2,18,7,100,7.0000004517804
Liar,0.2,18,8,100,8.000000058134917
Liar,0.2,18,9,100,9.00000000345048
Liar,0.2,18,10,100,9.999999998645446
Liar,0.2,19,0,100,0.030613287616726305
Liar,0.2,19,1,100,1.0061166914855504
Liar,0.2,19,2,100,2.001202292586859
Liar,0.2,19,3,100,3.0002318596126196
Liar,0.2,19,4,100,4.000043604762166
Liar,0.2,19,5,100,5.00000791518802
Liar,0.2,19,6,100,6.00000136126928
Liar,0.2,19,7,100,7.00000021340597
Liar,0.2,19,8,100,8.00000002746099
Liar,0.2,19,9,100,9.000000001629894
Liar,0.2,19,10,100,9.999999999360154
Liar,0.2,20,0,100,0.014485683513110404
Liar,0.2,20,1,100,1.002890435860725
Liar,0.2,20,2,100,2.0005679717272167
Liar,0.2,20,3,100,3.0001095248301395
Liar,0.2,20,4,100,4.000020597519373
Liar,0.2,20,5,100,5.000003738873639
Liar,0.2,20,6,100,6.000000643018213
Liar,0.2,20,7,100,7.000000100805847
Liar,0.2,20,8,100,8.000000012971654
Liar,0.2,20,9,100,9.000000000769907
Liar,0.2,20,10,100,9.999999999697758
Liar,0.2,21,0,100,0.006848142691132487
Liar,0.2,21,1,100,1.001365594241976
Liar,0.2,21,2,100,2.0002683017643266
Liar,0.2,21,3,100,3.000051736335978
Liar,0.2,21,4,100,4.000009729598898
Liar,0.2,21,5,100,5.000001766119646
Liar,0.2,21,6,100,6.000000303740326
Liar,0.2,21,7,100,7.000000047617312
Liar,0.2,21,8,100,8.000000006127376
Liar,0.2,21,9,100,9.000000000363679
Liar,0.2,21,10,100,9.99999999985723
Liar,0.2,22,0,100,0.0032360824225991245
Liar,0.2,22,1,100,1.0006451166229908
Liar,0.2,22,2,100,2.0001267392156756
Liar,0.2,22,3,100,3.000024438619444
Liar,0.2,22,4,100,4.000004595941482
Liar,0.2,22,5,100,5.000000834256026
Liar,0.2,22,6,100,6.000000143476778
Liar,0.2,22,7,100,7.000000022492825
Liar,0.2,22,8,100,8.000000002894367
Liar,0.2,22,9,100,9.00000000017179
Liar,0.2,22,10,100,9.99999999993256
Liar,0.2,23,0,100,0.0015288959166513203
Liar,0.2,23,1,100,1.0003047439181234
Liar,0.2,23,2,100,2.0000598679100037
Liar,0.2,23,3,100,3.0000115440097974
Liar,0.2,23,4,100,4.0000021709700135
Liar,0.2,23,5,100,5.000000394074683
Liar,0.2,23,6,100,6.000000067773632
Liar,0.2,23,7,100,7.000000010624858
Liar,0.2,23,8,100,8.000000001367201
Liar,0.2,23,9,100,9.000000000081146
Liar,0.2,23,10,100,9.999999999968143
Liar,0.2,24,0,100,7.222615231300534e-4
Liar,0.2,24,1,100,1.0001439536016785
Liar,0.2,24,2,100,2.0000282797195625
Liar,0.2,24,3,100,3.000005453009329
Liar,0.2,24,4,100,4.00000102549384
Liar,0.2,24,5,100,5.000000186147708
Liar,0.2,24,6,100,6.000000032013997
Liar,0.2,24,7,100,7.000000005018827
Liar,0.2,24,8,100,8.000000000645821
Liar,0.2,24,9,100,9.00000000003833
Liar,0.2,24,10,100,9.99999999998495
Liar,0.2,25,0,100,3.411860728943065e-4
Liar,0.2,25,1,100,1.0000679994841335
Liar,0.2,25,2,100,2.000013358420707
Liar,0.2,25,3,100,3.0000025758203828
Liar,0.2,25,4,100,4.000000484409039
Liar,0.2,25,5,100,5.000000087929954
Liar,0.2,25,6,100,6.000000015122342
Liar,0.2,25,7,100,7.000000002370727
Liar,0.2,25,8,100,8.000000000305064
Liar,0.2,25,9,100,9.000000000018106
Liar,0.2,25,10,100,9.999999999992893
Liar,0.5,-5,0,100,9.362816643568172
Liar,0.5,-5,1,100,9.36327998092878
Liar,0.5,-5,2,100,9.364094949458083
Liar,0.5,-5,3,100,9.365024174260114
Liar,0.5,-5,4,100,9.363786000414947
Liar,0.5,-5,5,100,9.349690826034786
Liar,0.5,-5,6,100,9.284975062122868
Liar,0.5,-5,7,100,9.085960811978197
Liar,0.5,-5,8,100,8.819253612469778
Liar,0.5,-5,9,100,9.087356233515088
Liar,0.5,-5,10,100,9.959038873724253
Liar,0.5,-4,0,100,9.362768088898905
Liar,0.5,-4,1,100,9.363085596547947
Liar,0.5,-4,2,100,9.363327826557162
Liar,0.5,-4,3,100,9.362053131278328
Liar,0.5,-4,4,100,9.352585173441131
Liar,0.5,-4,5,100,9.309403721361473
Liar,0.5,-4,6,100,9.1554362886278
Liar,0.5,-4,7,100,8.788552125867215
Liar,0.5,-4,8,100,8.54344397536973
Liar,0.5,-4,9,100,9.045693792028366
Liar,0.5,-4,10,100,9.980392488317136
Liar,0.5,-3,0,100,9.362665300324789
Liar,0.5,-3,1,100,9.362674114621893
Liar,0.5,-3,2,100,9.361704354559546
Liar,0.5,-3,3,100,9.355772575348482
Liar,0.5,-3,4,100,9.329026686047202
Liar,0.5,-3,5,100,9.226530815078247
Liar,0.5,-3,6,100,8.91231297293348
Liar,0.5,-3,7,100,8.373870961876786
Liar,0.5,-3,8,100,8.317300917265078
Liar,0.5,-3,9,100,9.022737167298711
Liar,0.5,-3,10,100,9.990679166148094
Liar,0.5,-2,0,100,9.362447704357848
Liar,0.5,-2,1,100,9.36180314095944
Liar,0.5,-2,2,100,9.358269825174906
Liar,0.5,-2,3,100,9.342517465566607
Liar,0.5,-2,4,100,9.279831260660128
Liar,0.5,-2,5,100,9.061193847473707
Liar,0.5,-2,6,100,8.503895547317585
Liar,0.5,-2,7,100,7.921545977890813
Liar,0.5,-2,8,100,8.1686921890335
Liar,0.5,-2,9,100,9.011018291473167
Liar,0.5,-2,10,100,9.995583883789866
Liar,0.5,-1,0,100,9.36198708706086
Liar,0.5,-1,1,100,9.359959888150073
Liar,0.5,-1,2,100,9.35100948935611
Liar,0.5,-1,3,100,9.314638009194566
Liar,0.5,-1,4,100,9.178623909446591
Liar,0.5,-1,5,100,8.750590297150657
Liar,0.5,-1,6,100,7.930700947817371
Liar,0.5,-1,7,100,7.543047923759953
Liar,0.5,-1,8,100,8.084705985413027
Liar,0.5,-1,9,100,9.005269099210437
Liar,0.5,-1,10,100,9.997911001201867
Liar,0.5,0,0,100,9.361012109756942
Liar,0.5,0,1,100,9.35606040186105
Liar,0.5,0,2,100,9.335686530835671
Liar,0.5,0,3,100,9.256418401401751
Liar,0.5,0,4,100,8.976670242979676
Liar,0.5,0,5,100,8.227952626251556
