role,p,mor,ks,n,val,se
Liar,0.5,11,9,100,9.000261774185441,3.461854125669357e-5
Liar,0.5,11,10,100,9.999983571007686,1.9551612354358696e-6
Detector2,0.5,11,0,100,0.0028498460603280313,2.841724437760464e-4
Detector2,0.5,11,1,100,0.002000679782338886,1.9966770627474263e-4
Detector2,0.5,11,2,100,9.707957679546623e-4,9.698533235315836e-5
Detector2,0.5,11,3,100,6.334118206601929e-4,6.330106101256408e-5
Detector2,0.5,11,4,100,0.0010819057549746928,1.0807352349120453e-4
Detector2,0.5,11,5,100,0.0036929427572792127,3.679304931070672e-4
Detector2,0.5,11,6,100,0.017878350797309053,0.0017558715370077412
Detector2,0.5,11,7,100,0.09164572358342525,0.008324678493229567
Detector2,0.5,11,8,100,0.273005419411534,0.01984734603834664
Detector2,0.5,11,9,100,0.3938904427281574,0.02387407618555736
Detector2,0.5,11,10,100,0.5142989691194904,0.024979553948211986
Detector,0.5,19,0,100,0.030679672494699942,0.0029738430190317895
Detector,0.5,19,1,100,0.030679815327331595,0.0029738564258812426
Detector,0.5,19,2,100,0.030680134421951808,0.0029738863773802774
Detector,0.5,19,3,100,0.030680942407741944,0.0029739622180714764
Detector,0.5,19,4,100,0.030683860007685786,0.0029742360742714526
Detector,0.5,19,5,100,0.030697693613209568,0.002975534522003908
Detector,0.5,19,6,100,0.03078420727953971,0.0029836539861710044
Detector,0.5,19,7,100,0.03150630938311387,0.003051366185216938
Detector,0.5,19,8,100,0.03936596824795579,0.003781628879185672
Detector,0.5,19,9,100,0.2084804381201138,0.01650163450413592
Detector,0.5,19,10,100,0.4927630205208142,0.024994762612801785
Liar,0.5,19,0,100,3.975045797109723,0.17362566847506083
Liar,0.5,19,1,100,2.321591867568694,0.07893505787148582
Liar,0.5,19,2,100,2.3110238107907297,0.02045503938115203
Liar,0.5,19,3,100,3.06308979813537,0.004283665463570403
Liar,0.5,19,4,100,4.012074411211255,8.361199881793471e-4
Liar,0.5,19,5,100,5.002219098528341,1.5712771250613733e-4
Liar,0.5,19,6,100,6.000387797223277,2.8362829374211528e-5
Liar,0.5,19,7,100,7.000062351372189,4.813730242854985e-6
Liar,0.5,19,8,100,8.000008238978467,7.079376609338991e-7
Liar,0.5,19,9,100,9.000000143877447,3.361951283081392e-8
Liar,0.5,19,10,100,9.999999966412904,2.8531830791940464e-9
Detector2,0.5,19,0,100,5.43952633473346e-7,5.439523375888785e-8
