role,p,decay,ks,n,val,se,mor
Detector,0.2,NA,10,50,0.4002923012604143,0.033949380942045346,-5
Liar,0.2,NA,0,50,0.6449642538504158,0.07569864803476718,-5
Liar,0.2,NA,1,50,0.4334440017565701,0.06609036346298199,-5
Liar,0.2,NA,2,50,0.8861571588044281,0.1299228713469911,-5
Liar,0.2,NA,3,50,1.3022068453242086,0.19803801008783992,-5
Liar,0.2,NA,4,50,1.7057689276105683,0.26761461459555425,-5
Liar,0.2,NA,5,50,2.1064357816144486,0.3375200724855713,-5
Liar,0.2,NA,6,50,2.5051822922862947,0.40725283286086306,-5
Liar,0.2,NA,7,50,2.8856144447938843,0.47380918369264835,-5
Liar,0.2,NA,8,50,3.0888655982722626,0.509369747960627,-5
Liar,0.2,NA,9,50,2.460552703249166,0.3994378784413826,-5
Liar,0.2,NA,10,50,1.9818410393720096,0.31568094704825883,-5
Detector2,0.2,NA,0,50,0.6247128487440503,0.033155771037117567,-5
Detector2,0.2,NA,1,50,0.6229789252864287,0.033216508479987326,-5
Detector2,0.2,NA,2,50,0.6227553454358836,0.0332242783434625,-5
Detector2,0.2,NA,3,50,0.6258370768405805,0.03311593613899184,-5
Detector2,0.2,NA,4,50,0.6334647734161108,0.03283622225590438,-5
Detector2,0.2,NA,5,50,0.6499119678226736,0.03217709233699289,-5
Detector2,0.2,NA,6,50,0.6695650004444276,0.03128915130088565,-5
Detector2,0.2,NA,7,50,0.6791767711207422,0.03081510324722234,-5
Detector2,0.2,NA,8,50,0.6881783407782041,0.030347454977291424,-5
Detector2,0.2,NA,9,50,0.7482931466386414,0.02663678504344478,-5
Detector2,0.2,NA,10,50,0.9693744969350434,0.004198458057092625,-5
Detector,0.2,NA,0,50,0.43778956168844624,0.0348080188047512,-4
Detector,0.2,NA,1,50,0.43600798758610826,0.034776221765909804,-4
Detector,0.2,NA,2,50,0.4358219078115794,0.0347728488857734,-4
Detector,0.2,NA,3,50,0.43608200969526734,0.03477756076709543,-4
Detector,0.2,NA,4,50,0.43708511621288226,0.03479555336538955,-4
Detector,0.2,NA,5,50,0.4400299026634032,0.03484672951544406,-4
Detector,0.2,NA,6,50,0.4441239111127084,0.03491380216668133,-4
Detector,0.2,NA,7,50,0.4433511089995313,0.03490150423027963,-4
Detector,0.2,NA,8,50,0.43523226441784557,0.034762096329367866,-4
Detector,0.2,NA,9,50,0.39401880193641176,0.03376689235766432,-4
Detector,0.2,NA,10,50,0.31446179301184707,0.03048699001102474,-4
Liar,0.2,NA,0,50,0.42322650267654655,0.06609894911076628,-4
Liar,0.2,NA,1,50,0.5516032462460818,0.06670004035255321,-4
Liar,0.2,NA,2,50,1.109923796777588,0.13235028949035219,-4
Liar,0.2,NA,3,50,1.642237213691279,0.20189045415761847,-4
Liar,0.2,NA,4,50,2.1651063768964676,0.2728379519839033,-4
Liar,0.2,NA,5,50,2.685681446100064,0.34412247472283447,-4
Liar,0.2,NA,6,50,3.205133306808102,0.4153876628316026,-4
Liar,0.2,NA,7,50,3.7156241447514367,0.48544818836299686,-4
Liar,0.2,NA,8,50,4.129066775032558,0.542193142195594,-4
Liar,0.2,NA,9,50,3.681033901342496,0.480699415642213,-4
Liar,0.2,NA,10,50,2.560438257931798,0.3268953339625619,-4
Detector2,0.2,NA,0,50,0.5379303678946653,0.03515187434269569,-4
Detector2,0.2,NA,1,50,0.5385526315109416,0.035145143734383044,-4
Detector2,0.2,NA,2,50,0.5388563587768376,0.035141818745625844,-4
Detector2,0.2,NA,3,50,0.5435795422931974,0.03508675494204629,-4
Detector2,0.2,NA,4,50,0.5523477402775232,0.03496780410915129,-4
Detector2,0.2,NA,5,50,0.5692643049635329,0.03467686388843015,-4
Detector2,0.2,NA,6,50,0.5893356419359129,0.034226675449750686,-4
Detector2,0.2,NA,7,50,0.5988814959269326,0.033972584644168045,-4
Detector2,0.2,NA,8,50,0.6048687226818782,0.03380006490703108,-4
Detector2,0.2,NA,9,50,0.6315064697876582,0.032909604969916934,-4
Detector2,0.2,NA,10,50,0.8731084809546318,0.01566808074642106,-4
Detector,0.2,NA,0,50,0.5288821337912953,0.03523736852439084,-3
Detector,0.2,NA,1,50,0.5276346060574032,0.03524733960687319,-3
Detector,0.2,NA,2,50,0.5274990269901487,0.03524839672677953,-3
