role,p,mor,ks,n,val
Liar,0.5,9,1,100,5.409791426340286
Liar,0.5,9,2,100,2.9473097351872375
Liar,0.5,9,3,100,3.1247852981263393
Liar,0.5,9,4,100,4.014568119428349
Liar,0.5,9,5,100,5.001623320003966
Liar,0.5,9,6,100,6.000172011812831
Liar,0.5,9,7,100,7.0000168180213675
Liar,0.5,9,8,100,8.000001401515169
Liar,0.5,9,9,100,9.000000071314448
Liar,0.5,9,10,100,9.999999993633056
Liar,0.5,10,0,100,7.114179176113151
Liar,0.5,10,1,100,3.3999251195457516
Liar,0.5,10,2,100,2.3782910254365563
Liar,0.5,10,3,100,3.046460948090339
Liar,0.5,10,4,100,4.005368131836052
Liar,0.5,10,5,100,5.000597319051036
Liar,0.5,10,6,100,6.000063281510612
Liar,0.5,10,7,100,7.000006187029158
Liar,0.5,10,8,100,8.000000515588885
Liar,0.5,10,9,100,9.00000002623512
Liar,0.5,10,10,100,9.999999997657733
Liar,0.5,11,0,100,4.922391874016231
Liar,0.5,11,1,100,2.0719114942540138
Liar,0.5,11,2,100,2.1436847336037106
Liar,0.5,11,3,100,3.0171683867350914
Liar,0.5,11,4,100,4.001976021713365
Liar,0.5,11,5,100,5.000219759403113
Liar,0.5,11,6,100,6.000023280224048
Liar,0.5,11,7,100,7.000002276084195
Liar,0.5,11,8,100,8.000000189674587
Liar,0.5,11,9,100,9.00000000965136
Liar,0.5,11,10,100,9.999999999138328
Liar,0.5,12,0,100,2.678899744653534
Liar,0.5,12,1,100,1.428049189165896
Liar,0.5,12,2,100,2.0534977690210323
Liar,0.5,12,3,100,3.0063262938563735
Liar,0.5,12,4,100,4.000727099809389
Liar,0.5,12,5,100,5.000080847403315
Liar,0.5,12,6,100,6.000008564350634
Liar,0.5,12,7,100,7.000000837325038
Liar,0.5,12,8,100,8.000000069777386
Liar,0.5,12,9,100,9.00000000355054
Liar,0.5,12,10,100,9.99999999968301
Liar,0.5,13,0,100,1.1965149122708318
Liar,0.5,13,1,100,1.162584283552345
Liar,0.5,13,2,100,2.019768660348248
Liar,0.5,13,3,100,3.002328723745839
Liar,0.5,13,4,100,4.000267507008746
Liar,0.5,13,5,100,5.000029742427365
Liar,0.5,13,6,100,6.000003150653237
Liar,0.5,13,7,100,7.000000308034729
Liar,0.5,13,8,100,8.000000025669667
Liar,0.5,13,9,100,9.00000000130617
Liar,0.5,13,10,100,9.999999999883384
Liar,0.5,14,0,100,0.4778076174414707
Liar,0.5,14,1,100,1.0605346058205913
Liar,0.5,14,2,100,2.007284456732987
Liar,0.5,14,3,100,3.000856880611485
Liar,0.5,14,4,100,4.000098413298097
Liar,0.5,14,5,100,5.000010941672195
Liar,0.5,14,6,100,6.00000115906119
Liar,0.5,14,7,100,7.000000113319651
Liar,0.5,14,8,100,8.000000009443342
Liar,0.5,14,9,100,9.000000000480513
Liar,0.5,14,10,100,9.9999999999571
Liar,0.5,15,0,100,0.18148387166646937
Liar,0.5,15,1,100,1.0223689361282544
Liar,0.5,15,2,100,2.00268142589434
Liar,0.5,15,3,100,3.000315254620301
Liar,0.5,15,4,100,4.0000362046309625
Liar,0.5,15,5,100,5.000004025222293
Liar,0.5,15,6,100,6.00000042639487
Liar,0.5,15,7,100,7.000000041687971
Liar,0.5,15,8,100,8.000000003474012
Liar,0.5,15,9,100,9.00000000017677
Liar,0.5,15,10,100,9.999999999984219
Liar,0.5,16,0,100,0.06757144791094541
Liar,0.5,16,1,100,1.0082426199038177
Liar,0.5,16,2,100,2.00098666142929
Liar,0.5,16,3,100,3.0001159791936787
Liar,0.5,16,4,100,4.000013318993793
Liar,0.5,16,5,100,5.000001480797345
Liar,0.5,16,6,100,6.000000156861918
Liar,0.5,16,7,100,7.0000000153361475
Liar,0.5,16,8,100,8.000000001278018
Liar,0.5,16,9,100,9.000000000065029
Liar,0.5,16,10,100,9.999999999994193
Liar,0.5,17,0,100,0.02496921263070429
Liar,0.5,17,1,100,1.0030341280827075
Liar,0.5,17,2,100,2.0003630022339807
Liar,0.5,17,3,100,3.0000426668346694
Liar,0.5,17,4,100,4.000004899791354
Liar,0.5,17,5,100,5.00000054475501
Liar,0.5,17,6,100,6.000000057706276
Liar,0.5,17,7,100,7.000000005641853
Liar,0.5,17,8,100,8.000000000470157
Liar,0.5,17,9,100,9.000000000023924
Liar,0.5,17,10,100,9.999999999997865
Liar,0.5,18,0,100,0.009200783172742982
Liar,0.5,18,1,100,1.0011164422524936
Liar,0.5,18,2,100,2.0001335450895485
Liar,0.5,18,3,100,3.0000156963154057
Liar,0.5,18,4,100,4.000001802533501
Liar,0.5,18,5,100,5.000000200404184
Liar,0.5,18,6,100,6.000000021228953
Liar,0.5,18,7,100,7.000000002075522
Liar,0.5,18,8,100,8.00000000017296
Liar,0.5,18,9,100,9.0000000000088
Liar,0.5,18,10,100,9.999999999999213
Liar,0.5,19,0,100,0.0033868302843666283
Liar,0.5,19,1,100,1.0004107498483916
Liar,0.5,19,2,100,2.000049129038415
Liar,0.5,19,3,100,3.000005774360416
Liar,0.5,19,4,100,4.000000663115152
Liar,0.5,19,5,100,5.000000073724581
Liar,0.5,19,6,100,6.000000007809696
Liar,0.5,19,7,100,7.000000000763542
Liar,0.5,19,8,100,8.000000000063627
Liar,0.5,19,9,100,9.000000000003238
Liar,0.5,19,10,100,9.999999999999712
Liar,0.5,20,0,100,0.0012462230774965154
Liar,0.5,20,1,100,1.0001511109855172
Liar,0.5,20,2,100,2.000018073637024
Liar,0.5,20,3,100,3.000002124269657
Liar,0.5,20,4,100,4.00000024394645
Liar,0.5,20,5,100,5.000000027121758
Liar,0.5,20,6,100,6.000000002873027
Liar,0.5,20,7,100,7.000000000280892
